ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_ID,Parent_ID,Source,Source_comment
japh1234,Japhug,,32.1,102.36,japh1234,,sino1245,jiar1240,jacques21grammar[868-874],
situ1238,Situ,,31.590536,102.660664,situ1238,,sino1245,core1262,zhangshuya20these[162-164],
ainu1240,Hokkaido Ainu,,43.633654,142.46167,ainu1240,ain,ainu1252,hokk1250,tamura96saru[90],
cent2127,Central Alaskan Yupik,,60.3062,-161.486,cent2127,esu,eski1264,yupi1267,miyaoka12yupik[993],
west2618,Western Canadian Inuktitut,,64.3486,-96.148,west2618,ikt,eski1264,inui1246,lowe01sallirmiut[199],
otta1242,Ottawa,,44.5988,-83.226,otta1242,otw,algi1248,ojib1241,valentine01grammar[460],
seve1240,Severn Ojibwa,,53.9092,-89.9331,seve1240,ojs,algi1248,seve1242,slavin12ojicree,
chip1241,Chippewa,,47.347,-94.2738,chip1241,ciw,algi1248,cent2252,nichols95ojibwe-dico,
mesk1242,Meskwaki,,44.0,-89.0,mesk1242,sac,algi1248,foxx1245,goddard05meskwaki,
plai1258,Plains Cree,,51.2437,-110.463,plai1258,crk,algi1248,plai1264,wolvengrey01nehiyawewin,
arap1274,Arapaho,,43.3879,-108.81,arap1274,arp,algi1248,arap1280,cowell06arapaho[173],
chey1247,Cheyenne,,45.5321,-106.659,chey1247,chy,algi1248,algo1257,fisher17cheyenne,
siks1238,Siksika,,49.0669,-113.109,siks1238,bla,algi1248,algo1256,frantz17blackfoot,
nezp1238,Nez Percé,,46.3073,-116.408,nezp1238,nez,saha1239,saha1239,"aoki94nezperce[314,474,768]",
clas1250,Classical Nahuatl,,19.72,-96.97,clas1250,nci,utoa1244,cent2258,wimmer06nahuatl,
mapu1245,Mapudungun,,-38.7392,-71.277,mapu1245,arn,arau1255,arau1255,smeets08mapuche[127],
cavi1250,Cavineña,,-13.3544,-66.6277,cavi1250,cav,pano1259,taca1255,guillaume08cavinena[377-379],
nucl1301,Turkish,,39.8667,32.8667,nucl1301,tur,turk1311,west2406,goksel05grammar[56],
alam1246,Alamblak,,-4.66307,143.316,alam1246,amp,sepi1257,east2496,bruce79alamblak[273],
abaz1241,Abaza,,44.25,42.0,abaz1241,abq,abkh1242,abkh1243,tabulova76abazinskogo[184-185:227],
adyg1241,Adyghe,,44.0,39.33,adyg1241,ady,abkh1242,circ1239,rogava66adygej[265],
nana1257,Nanai,,48.43426,134.79726,nana1257,gld,tung1282,orok1264,onenko80nanaj[551],
even1259,Evenki,,61.972,94.689,even1259,evn,tung1282,west2427,vasilevich58evenk[790],
manc1252,Manchu,,47.31225,126.55713,manc1252,mnc,tung1282,manc1251,norman13manchu,
tuvi1240,Tuvinian,,51.7,94.36667,tuvi1240,tyv,turk1311,saya1244,isxakov61tuvinskogo[269-270],
halh1238,Halh Mongolian,,48.32397,106.28874,halh1238,khk,mong1349,mong1331,janhunen10mongolian[146],
anci1242,Ancient Greek,,39.8155,21.9129,anci1242,grc,indo1319,east2798,,personal knowledge
nene1249,Tundra Nenets,,66.1775,71.0234,nene1249,yrk,ural1272,nene1251,stenin15nenets[121],
nort2671,North Saami,,68.725,22.1113,nort2671,sme,ural1272,cent2240,korhonen81lapin[338],
finn1318,Finnish,,64.7628,25.5577,finn1318,fin,ural1272,nucl1717,hakulinen61finnish[197-198],
oldc1244,Old Chinese,,36.12,114.32,oldc1244,och,sino1245,sini1245,jacques16ssuffixes,
amha1245,Amharic,,11.708182,39.543456,amha1245,amh,afro1255,amha1244,"leslau96amharic[476,488]",
stan1318,Standard Arabic,,27.9625,43.8525,stan1318,arb,afro1255,arab1395,larcher96,
sand1273,Sandawe,,-5.26918,35.4808,sand1273,sad,,,eaton10sandawe[129],
lako1247,Lakota,,46.3699,-103.95,lako1247,lkt,siou1252,siou1253,ullrich08[317],
halk1245,Halkomelem,,49.250402,-122.443668,halk1245,hur,sali1255,cent2129,suttles04musqueam[239],
koas1236,Koasati,,30.4096,-92.709,koas1236,cku,musk1252,alab1247,kimball94koasati[37],
muru1274,Murui Huitoto,,-1.13669,-73.8331,muru1274,huu,huit1251,mini1255,"wojtylak17murui[377,409]",
movi1243,Movima,,-13.8115,-65.6348,movi1243,mzp,,,"haude06movima[51,118]",
niva1238,Nivaclé,,-22.8557,-61.7606,niva1238,cag,mata1289,mata1290,fabre16nivacle[344],
taga1270,Tagalog,,14.06,121.747,taga1270,tgl,aust1307,taga1269,,"Ricardo Ma. Duran Nolasco, p.c."
cebu1242,Cebuano,,8.38799,124.367,cebu1242,ceb,aust1307,bisa1268,tanangkingsing09cebuano[368],
ilok1237,Iloko,,15.9361,120.993,ilok1237,ilo,aust1307,nort3238,rubino00ilocano[588],
wara1300,Waray (Philippines),,11.4911,125.012,wara1300,war,aust1307,sama1315,payne22waray,
kwaz1243,Kwaza,,-11.6667,-61.1833,kwaz1243,xwa,,,"voort04kwaza[360,368]",
omah1247,Omaha-Ponca,,42.0944,-96.5295,omah1247,oma,siou1252,dheg1241,marsault21these[279],
nort2745,Tundra Yukaghir,,70.498,157.853,nort2745,ykg,yuka1259,yuka1259,kurilov01yukaghir[88],
east2556,Yuhu,,20.5991,-98.0978,east2556,otm,otom1299,east2737,etchegoyen07yuhu[179],
